Rank,State,Avg. Salary,Hourly Rate,Job Count,State Code
1,Connecticut,79907,38.42,821,US-CT
2,New Jersey,82466,39.65,1729,US-NJ
3,Maryland,79828,38.38,1685,US-MD
4,"Washington, D.C.",82711,39.76,939,US-DC
5,New York,77475,37.25,3352,US-NY
6,Virginia,75875,36.48,2234,US-VA
7,North Carolina,73317,35.25,1798,US-NC
8,Illinois,73071,35.13,2831,US-IL
9,Rhode Island,71417,34.34,288,US-RI
10,New Hampshire,72371,34.79,316,US-NH
11,Texas,70393,33.84,4006,US-TX
12,Pennsylvania,69574,33.45,2073,US-PA
13,Washington,80018,38.47,874,US-WA
14,Massachusetts,78750,37.86,1329,US-MA
15,Georgia,69630,33.48,2027,US-GA
16,California,80056,38.49,4430,US-CA
17,Ohio,68379,32.87,1586,US-OH
18,Michigan,70069,33.69,1103,US-MI
19,Minnesota,68853,33.1,1138,US-MN
20,Oregon,72311,34.76,590,US-OR
21,Wisconsin,67290,32.35,879,US-WI
22,Colorado,66648,32.04,1414,US-CO
23,Arizona,64892,31.2,1349,US-AZ
24,Alabama,66024,31.74,680,US-AL
25,Delaware,65568,31.52,290,US-DE
26,Hawaii,64949,31.23,234,US-HI
27,Alaska,63817,30.68,195,US-AK
28,Iowa,64369,30.95,573,US-IA
29,Nevada,63749,30.65,347,US-NV
30,Maine,62636,30.11,223,US-ME
31,Florida,60592,29.13,3008,US-FL
32,Kansas,60335,29.01,511,US-KS
33,Missouri,63276,30.42,877,US-MO
34,Tennessee,61283,29.46,799,US-TN
35,Wyoming,54850,26.37,160,US-WY
36,Indiana,60624,29.15,1010,US-IN
37,Louisiana,62591,30.09,409,US-LA
38,South Carolina,62983,30.28,477,US-SC
39,West Virginia,59694,28.7,213,US-WV
40,Vermont,54505,26.2,185,US-VT
41,Kentucky,57374,27.58,603,US-KY
42,Montana,56865,27.34,211,US-MT
43,Utah,53407,25.68,739,US-UT
44,Nebraska,55131,26.51,370,US-NE
45,Arkansas,53595,25.77,451,US-AR
46,New Mexico,55903,26.88,302,US-NM
47,Idaho,51325,24.68,335,US-ID
48,Mississippi,56006,26.93,247,US-MS
49,South Dakota,53843,25.89,163,US-SD
50,North Dakota,47031,22.61,173,US-ND
51,Oklahoma,54964,26.43,354,US-OK
